articles_sold,unique_sales,total_revenue,average_revenue,article_name
57,13,0,42,Zahnbürste aus Bambus | 4erPack | mittelweich | natur
22,59,7,29,Rasierhobel KLASSIK mit Griff Watzmann aus Olivenholz
35,65,61,47,Seifenschale FLEUR
76,63,90,19,"Teigroller / Nudelholz DESIGN, kurz (ca. 25 cm) aus Olivenholz"
92,81,75,97,"Hundekotbeutel aus recyceltem PE, 50 Stück am Block"
28,99,26,61,Seifenschale NICOLE HEAVEN
13,95,61,23,"Seifenschale oval, klein aus Olivenholz"
73,29,40,16,Quicheform LOUISE
28,53,50,16,Fairphone 3+ (Plus)
72,48,87,28,Duschseife Milchsamt BIO - mit Kokosmilch
48,72,83,95,Käsehobel design aus Olivenholz
27,97,8,30,"Timor Rasierklingen, rostfrei, 10 Stück ""unverpackt"""
74,55,74,62,Kännchen MERLE
51,61,46,4,Der A2 Wandkalender 2021
69,8,0,78,"ökologisches Schwammtuch, Spültuch in versch. Designs"
0,91,36,58,"Wäschesammler mit integrierten  Wäschesack | ca. 61,5x42,5x31,5cm - Wäschetruhe aus Bambus & mit Deckel"
10,94,73,10,EcoYou® Rasierhobel 10 Klingen Nassrasierer Rasierer Damen & Herren
94,18,94,44,Fermentations Starter Kit
11,97,26,26,Essteller MERLE
55,33,67,48,Olivenbaum als Geschenk
63,53,62,7,3er Set Rechteckige Glasbox 640ml 1040ml 1520ml - Auflaufform Ofenform Lasagneform
17,67,80,11,Klappbares Abtropfgestell für Geschirr 100% Bambus
11,91,70,2,Kinder Maus Zahnbürste aus Bambus | extra weich | orange
2,19,0,30,EcoYou Vegane Zahnseide — Nachfüllset — 2 x 30 Meter Rollen mit Minzgeschmack aus Bambus Aktivkohle
90,66,27,65,Behelfs–Mund–Nasen Maske schwarz
77,93,10,7,2er Pack Obst- und Gemüsenetz
26,7,25,94,Bambus Zahnbürsten 4er Set - Vegane Holzzahnbürste - Borsten: Mittel
10,7,70,44,"Küchenset 3 tlg. (Wender, Kochlöffel und Risottolöffel)"
24,41,87,67,40x60 cm Kapok Bio Kopfkissen vegan mit separatem Innenbeutel
70,52,59,86,Set Kanne + Stövchen FLORA
4,6,46,90,"Schreibtischunterlage aus Kork (eckig, mehrfarbig)"
58,83,25,13,3er Set Glasbehälter | Vorratsgläser mit luftdichten Deckel aus Bambus in vielen Größen
37,93,5,47,Coconut Candle Holder I Kokosnuss Teelichthalter
54,51,34,82,Bio Stoffbinden Full Cycle Kit - 7 Stück
26,90,74,51,3er Pack Wachspapier | Bienenwachstücher für Lebensmittel
8,4,38,21,12 Abschminkpads waschbar aus Bambus-Viskose
7,29,14,89,"Behelfs-Mund-Nasen-Maske aus Bio-Baumwolle, unisex und schadstofffrei gemäß GOTS-Zertifizierung"
6,61,33,7,Spielkarten - Skat - Das gendergerechte Kartendeck
83,74,88,44,Schreibtischunterlagen Set aus recyceltem Leder
43,75,97,44,Ablage LOU
28,81,55,1,Bienenwachstücher auf Rolle 100x33cm - wiederverwendbare Wachstücher
40,81,18,7,Seifenablage aus Porzellan und Holz
13,29,4,22,Edelstahl Thermosflasche 750ml
35,1,30,4,BioBoy®  veganer Universalreiniger
79,18,20,75,Rapslicht für Gläser im 3er Set ohne Duft
77,50,34,11,Butterdose GRETA
18,88,80,37,Fairphone 3 Protective Case (auch für Fairphone 3+)
27,21,29,93,Ökologisches Bambus Schneidebrett in S bis XL mit Abtropfrinne
18,9,76,86,Zahnbürsten Halter blau
92,50,21,74,Upcycling-Glas 2er-Set in 2 Größen und 2 Farben
90,18,99,1,Butterdose MARIE
43,53,31,19,BioCase - Smartphone Hülle aus nachhaltigem Bio-Material
45,12,40,65,"Bio-Bienenwachstuch ""Groß"" - 35x35 cm"
28,80,19,22,Kräuter- und Schneidebrett (30 cm) als 2er Set aus Olivenholz
